epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1680017578964,2023-03-28T17.32.58.964,0.830,0.035,-0.022,1.021
1680017578974,2023-03-28T17.32.58.974,0.840,0.035,-0.021,1.021
1680017578984,2023-03-28T17.32.58.984,0.850,0.034,-0.019,1.020
1680017578994,2023-03-28T17.32.58.994,0.860,0.030,-0.015,1.020
1680017579004,2023-03-28T17.32.59.004,0.870,0.030,-0.012,1.021
1680017579014,2023-03-28T17.32.59.014,0.880,0.029,-0.013,1.021
1680017579024,2023-03-28T17.32.59.024,0.890,0.030,-0.014,1.021
1680017579034,2023-03-28T17.32.59.034,0.900,0.032,-0.018,1.020
1680017579044,2023-03-28T17.32.59.044,0.910,0.034,-0.021,1.021
1680017579054,2023-03-28T17.32.59.054,0.920,0.034,-0.018,1.022
1680017579064,2023-03-28T17.32.59.064,0.930,0.031,-0.017,1.022
1680017579074,2023-03-28T17.32.59.074,0.940,0.031,-0.013,1.023
1680017579084,2023-03-28T17.32.59.084,0.950,0.029,-0.013,1.021
1680017579094,2023-03-28T17.32.59.094,0.960,0.030,-0.015,1.021
1680017579104,2023-03-28T17.32.59.104,0.970,0.033,-0.019,1.021
1680017579114,2023-03-28T17.32.59.114,0.980,0.033,-0.021,1.021
1680017579124,2023-03-28T17.32.59.124,0.990,0.034,-0.021,1.021
1680017579134,2023-03-28T17.32.59.134,1.000,0.031,-0.019,1.021
1680017579144,2023-03-28T17.32.59.144,1.010,0.029,-0.015,1.021
1680017579154,2023-03-28T17.32.59.154,1.020,0.029,-0.013,1.021
1680017579164,2023-03-28T17.32.59.164,1.030,0.028,-0.014,1.019
1680017579174,2023-03-28T17.32.59.174,1.040,0.031,-0.015,1.021
1680017579184,2023-03-28T17.32.59.184,1.050,0.033,-0.019,1.021
1680017579194,2023-03-28T17.32.59.194,1.060,0.033,-0.021,1.021
1680017579204,2023-03-28T17.32.59.204,1.070,0.032,-0.021,1.021
1680017579214,2023-03-28T17.32.59.214,1.080,0.030,-0.017,1.021
1680017579224,2023-03-28T17.32.59.224,1.090,0.032,-0.014,1.021
1680017579234,2023-03-28T17.32.59.234,1.100,0.031,-0.013,1.021
1680017579244,2023-03-28T17.32.59.244,1.110,0.030,-0.015,1.021
1680017579254,2023-03-28T17.32.59.254,1.120,0.030,-0.018,1.020
1680017579264,2023-03-28T17.32.59.264,1.130,0.033,-0.020,1.022
1680017579274,2023-03-28T17.32.59.274,1.140,0.034,-0.019,1.019
1680017579284,2023-03-28T17.32.59.284,1.150,0.033,-0.017,1.021
1680017579294,2023-03-28T17.32.59.294,1.160,0.031,-0.015,1.022
1680017579304,2023-03-28T17.32.59.304,1.170,0.029,-0.013,1.020
